question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
11,1,"You have developed three data processing jobs. One executes a Cloud Dataflow pipeline that transforms data uploaded to Cloud Storage and writes results to
BigQuery. The second ingests data from on-premises servers and uploads it to Cloud Storage. The third is a Cloud Dataflow pipeline that gets information from third-party data providers and uploads the information to Cloud Storage. You need to be able to schedule and monitor the execution of these three workflows and manually execute them when needed. What should you do?",Create a Direct Acyclic Graph in Cloud Composer to schedule and monitor the jobs.,Use Stackdriver Monitoring and set up an alert with a Webhook notification to trigger the jobs.,Develop an App Engine application to schedule and request the status of the jobs using GCP API calls.,Set up cron jobs in a Compute Engine instance to schedule and monitor the pipelines using GCP API calls.,,,A,single,4,23,https://www.examtopics.com/discussions/google/view/17209-exam-professional-data-engineer-topic-1-question-108/,3,"The correct answer is A. Cloud Composer is a fully managed workflow orchestration service built on Apache Airflow, which is designed to schedule and monitor complex workflows, such as data processing jobs. By creating a Direct Acyclic Graph (DAG) in Cloud Composer, you can easily schedule, monitor, and manually trigger the execution of your data processing jobs. This approach is more suitable and efficient compared to using Stackdriver Monitoring with Webhook notifications (B), which is primarily for monitoring and alerting rather than orchestration. Developing an App Engine application (C) or setting up cron jobs on a Compute Engine instance (D) would require more manual setup and maintenance, making them less optimal choices for this task."
12,1,"You have Cloud Functions written in Node.js that pull messages from Cloud Pub/Sub and send the data to BigQuery. You observe that the message processing rate on the Pub/Sub topic is orders of magnitude higher than anticipated, but there is no error logged in Cloud Logging. What are the two most likely causes of this problem? (Choose two.)",Publisher throughput quota is too small.,Total outstanding messages exceed the 10-MB maximum.,Error handling in the subscriber code is not handling run-time errors properly.,The subscriber code cannot keep up with the messages.,The subscriber code does not acknowledge the messages that it pulls.,,D|E,multiple,5,13,https://www.examtopics.com/discussions/google/view/79780-exam-professional-data-engineer-topic-1-question-109/,3,"The correct answers are D and E because both relate to issues in message processing and acknowledgment, which are critical in a Pub/Sub system. If the subscriber code cannot keep up with the incoming messages (D), it will lead to a backlog, causing the message processing rate to appear higher than anticipated since messages are being continuously redelivered. Additionally, if the subscriber code does not acknowledge the messages it pulls (E), Pub/Sub will assume the messages have not been processed and will redeliver them, further increasing the perceived processing rate. These issues do not generate errors in Cloud Logging, which aligns with the observation that no errors are logged. Choices A, B, and C are less likely because they would typically result in errors or different symptoms, such as quota errors or message size issues, rather than an unexpectedly high processing rate."
13,1,"You are designing a basket abandonment system for an ecommerce company. The system will send a message to a user based on these rules:
✑ No interaction by the user on the site for 1 hour
Has added more than $30 worth of products to the basket
//IMG//

✑ Has not completed a transaction
You use Google Cloud Dataflow to process the data and decide if a message should be sent. How should you design the pipeline?",Use a fixed-time window with a duration of 60 minutes.,Use a sliding time window with a duration of 60 minutes.,Use a session window with a gap time duration of 60 minutes.,Use a global window with a time based trigger with a delay of 60 minutes.,,,C,single,4,12,https://www.examtopics.com/discussions/google/view/79682-exam-professional-data-engineer-topic-1-question-11/,3,"The correct choice is C. Use a session window with a gap time duration of 60 minutes because session windows are designed to handle scenarios where data is grouped based on periods of activity followed by inactivity. In this case, the system needs to detect when a user has been inactive for 1 hour after adding items worth more than $30 to their basket without completing a transaction. A session window with a 60-minute gap effectively captures this period of inactivity, allowing the system to send a message if the user does not interact within that timeframe. In contrast, fixed-time windows (A) and sliding time windows (B) are not suitable because they are based on fixed intervals and do not account for periods of inactivity. A global window with a time-based trigger (D) is not appropriate as it does not naturally align with the concept of user sessions and inactivity periods."
14,1,"You are creating a new pipeline in Google Cloud to stream IoT data from Cloud Pub/Sub through Cloud Dataflow to BigQuery. While previewing the data, you notice that roughly 2% of the data appears to be corrupt. You need to modify the Cloud Dataflow pipeline to filter out this corrupt data. What should you do?",Add a SideInput that returns a Boolean if the element is corrupt.,Add a ParDo transform in Cloud Dataflow to discard corrupt elements.,Add a Partition transform in Cloud Dataflow to separate valid data from corrupt data.,Add a GroupByKey transform in Cloud Dataflow to group all of the valid data together and discard the rest.,,,B,single,4,16,https://www.examtopics.com/discussions/google/view/17252-exam-professional-data-engineer-topic-1-question-110/,3,"The correct answer is B. Add a ParDo transform in Cloud Dataflow to discard corrupt elements. A ParDo transform is a versatile and powerful operation in Apache Beam (the underlying model for Cloud Dataflow) that allows you to process each element in a PCollection individually. By using a ParDo transform, you can implement custom logic to inspect each element and filter out those that are corrupt, effectively cleaning the data stream before it reaches BigQuery. Choice A, using a SideInput, is not suitable for filtering as it is typically used for providing additional data to a ParDo. Choice C, using a Partition transform, is more appropriate for splitting data into multiple collections rather than filtering. Choice D, using a GroupByKey transform, is intended for aggregating data based on keys and is not suitable for filtering out corrupt data."
15,1,"You have historical data covering the last three years in BigQuery and a data pipeline that delivers new data to BigQuery daily. You have noticed that when the
Data Science team runs a query filtered on a date column and limited to 30`""90 days of data, the query scans the entire table. You also noticed that your bill is increasing more quickly than you expected. You want to resolve the issue as cost-effectively as possible while maintaining the ability to conduct SQL queries.
What should you do?",Re-create the tables using DDL. Partition the tables by a column containing a TIMESTAMP or DATE Type.,Recommend that the Data Science team export the table to a CSV file on Cloud Storage and use Cloud Datalab to explore the data by reading the files directly.,"Modify your pipeline to maintain the last 30ג€""90 days of data in one table and the longer history in a different table to minimize full table scans over the entire history.",Write an Apache Beam pipeline that creates a BigQuery table per day. Recommend that the Data Science team use wildcards on the table name suffixes to select the data they need.,,,A,single,4,20,https://www.examtopics.com/discussions/google/view/17248-exam-professional-data-engineer-topic-1-question-111/,3,"The correct answer is A. Re-creating the tables with partitioning by a TIMESTAMP or DATE column optimizes query performance and reduces costs by limiting the amount of data scanned. Partitioning allows queries to only scan relevant partitions, rather than the entire table, which is particularly beneficial when filtering by date ranges like 30-90 days. This approach is both cost-effective and maintains the ability to conduct SQL queries directly in BigQuery. In contrast, options B, C, and D involve more complex changes or additional tools that may not effectively address the issue of full table scans or could complicate the data access process for the Data Science team."
16,1,"You operate a logistics company, and you want to improve event delivery reliability for vehicle-based sensors. You operate small data centers around the world to capture these events, but leased lines that provide connectivity from your event collection infrastructure to your event processing infrastructure are unreliable, with unpredictable latency. You want to address this issue in the most cost-effective way. What should you do?",Deploy small Kafka clusters in your data centers to buffer events.,Have the data acquisition devices publish data to Cloud Pub/Sub.,Establish a Cloud Interconnect between all remote data centers and Google.,Write a Cloud Dataflow pipeline that aggregates all data in session windows.,,,B,single,4,49,https://www.examtopics.com/discussions/google/view/17249-exam-professional-data-engineer-topic-1-question-112/,4,"The correct answer is B. Have the data acquisition devices publish data to Cloud Pub/Sub. Cloud Pub/Sub is a fully-managed messaging service that allows for reliable, asynchronous communication between independent applications. By publishing data directly to Cloud Pub/Sub, you can decouple the data collection from processing, ensuring that data is reliably captured even if there are connectivity issues with the leased lines. This approach is cost-effective because it eliminates the need for additional infrastructure, such as deploying and maintaining Kafka clusters (Choice A) or establishing expensive Cloud Interconnects (Choice C). Additionally, Cloud Pub/Sub can handle unpredictable latency and provide real-time event streaming, which is more efficient than relying solely on a Cloud Dataflow pipeline for aggregation (Choice D)."
17,1,"You are a retailer that wants to integrate your online sales capabilities with different in-home assistants, such as Google Home. You need to interpret customer voice commands and issue an order to the backend systems. Which solutions should you choose?",Speech-to-Text API,Cloud Natural Language API,Dialogflow Enterprise Edition,AutoML Natural Language,,,C,single,4,38,https://www.examtopics.com/discussions/google/view/16856-exam-professional-data-engineer-topic-1-question-113/,4,"The correct choice is C. Dialogflow Enterprise Edition because it is specifically designed to build conversational interfaces, such as chatbots and voice-powered applications, which are essential for integrating with in-home assistants like Google Home. Dialogflow can interpret customer voice commands, understand the intent behind them, and facilitate interactions with backend systems to process orders. While the Speech-to-Text API (Choice A) can transcribe spoken words into text, and the Cloud Natural Language API (Choice B) can analyze and understand text, they do not provide the comprehensive conversational capabilities needed for this integration. AutoML Natural Language (Choice D) is more suited for custom natural language processing models, not for building conversational interfaces."
18,1,Your company has a hybrid cloud initiative. You have a complex data pipeline that moves data between cloud provider services and leverages services from each of the cloud providers. Which cloud-native service should you use to orchestrate the entire pipeline?,Cloud Dataflow,Cloud Composer,Cloud Dataprep,Cloud Dataproc,,,B,single,4,21,https://www.examtopics.com/discussions/google/view/16628-exam-professional-data-engineer-topic-1-question-114/,4,"Cloud Composer is the correct choice for orchestrating a complex data pipeline in a hybrid cloud environment because it is a fully managed workflow orchestration service built on Apache Airflow. It is designed to manage and schedule workflows across multiple cloud providers, making it ideal for hybrid cloud initiatives. In contrast, Cloud Dataflow (A) is primarily used for stream and batch data processing, Cloud Dataprep (C) is focused on data preparation and cleaning, and Cloud Dataproc (D) is used for running Apache Hadoop and Apache Spark jobs. Therefore, Cloud Composer's orchestration capabilities make it the most suitable option for managing complex, multi-cloud data pipelines."
19,1,You use a dataset in BigQuery for analysis. You want to provide third-party companies with access to the same dataset. You need to keep the costs of data sharing low and ensure that the data is current. Which solution should you choose?,"Use Analytics Hub to control data access, and provide third party companies with access to the dataset.","Use Cloud Scheduler to export the data on a regular basis to Cloud Storage, and provide third-party companies with access to the bucket.","Create a separate dataset in BigQuery that contains the relevant data to share, and provide third-party companies with access to the new dataset.","Create a Dataflow job that reads the data in frequent time intervals, and writes it to the relevant BigQuery dataset or Cloud Storage bucket for third-party companies to use.",,,A,single,4,11,https://www.examtopics.com/discussions/google/view/79459-exam-professional-data-engineer-topic-1-question-115/,4,"The correct answer is A. Use Analytics Hub to control data access, and provide third-party companies with access to the dataset. Analytics Hub is a Google Cloud service designed specifically for sharing data securely and efficiently. It allows you to share datasets with external parties without the need to duplicate or export the data, ensuring that the shared data is always current and up-to-date. This approach minimizes costs associated with data storage and transfer, as opposed to options like B and D, which involve exporting data to Cloud Storage or using Dataflow jobs, both of which can incur additional costs and complexity. Option C involves creating a separate dataset, which could lead to data duplication and increased storage costs, while Analytics Hub provides a more streamlined and cost-effective solution for data sharing."
20,1,"Your company is in the process of migrating its on-premises data warehousing solutions to BigQuery. The existing data warehouse uses trigger-based change data capture (CDC) to apply updates from multiple transactional database sources on a daily basis. With BigQuery, your company hopes to improve its handling of
CDC so that changes to the source systems are available to query in BigQuery in near-real time using log-based CDC streams, while also optimizing for the performance of applying changes to the data warehouse. Which two steps should they take to ensure that changes are available in the BigQuery reporting table with minimal latency while reducing compute overhead? (Choose two.)","Perform a DML INSERT, UPDATE, or DELETE to replicate each individual CDC record in real time directly on the reporting table.",Insert each new CDC record and corresponding operation type to a staging table in real time.,Periodically DELETE outdated records from the reporting table.,"Periodically use a DML MERGE to perform several DML INSERT, UPDATE, and DELETE operations at the same time on the reporting table.","Insert each new CDC record and corresponding operation type in real time to the reporting table, and use a materialized view to expose only the newest version of each unique record.",,B|D,multiple,5,16,https://www.examtopics.com/discussions/google/view/79672-exam-professional-data-engineer-topic-1-question-116/,4,"To efficiently handle change data capture (CDC) with minimal latency and reduced compute overhead in BigQuery, the recommended approach involves using a staging table and periodic batch operations. Choice B suggests inserting each new CDC record and its operation type into a staging table in real time, which allows for immediate data capture without impacting the performance of the reporting table. Choice D recommends periodically using a DML MERGE operation to apply multiple INSERT, UPDATE, and DELETE operations simultaneously on the reporting table. This method optimizes performance by reducing the number of individual DML operations and leveraging BigQuery's efficient batch processing capabilities, ensuring that changes are applied with minimal latency. Choices A and E would lead to higher compute overhead due to real-time DML operations directly on the reporting table, which is not optimal for performance."
21,1,You are designing a data processing pipeline. The pipeline must be able to scale automatically as load increases. Messages must be processed at least once and must be ordered within windows of 1 hour. How should you design the solution?,Use Apache Kafka for message ingestion and use Cloud Dataproc for streaming analysis.,Use Apache Kafka for message ingestion and use Cloud Dataflow for streaming analysis.,Use Cloud Pub/Sub for message ingestion and Cloud Dataproc for streaming analysis.,Use Cloud Pub/Sub for message ingestion and Cloud Dataflow for streaming analysis.,,,D,single,4,22,https://www.examtopics.com/discussions/google/view/16629-exam-professional-data-engineer-topic-1-question-117/,5,"The correct answer is D. Use Cloud Pub/Sub for message ingestion and Cloud Dataflow for streaming analysis. Cloud Pub/Sub is a fully managed messaging service that can automatically scale to handle varying loads, ensuring messages are processed at least once. Cloud Dataflow, a fully managed service for stream and batch processing, supports windowed operations and can maintain the order of messages within specified time windows, such as the 1-hour window required. This combination allows for automatic scaling and the necessary message ordering and processing guarantees, making it the most suitable choice among the options provided."
22,1,"You need to set access to BigQuery for different departments within your company. Your solution should comply with the following requirements:
✑ Each department should have access only to their data.
✑ Each department will have one or more leads who need to be able to create and update tables and provide them to their team.
✑ Each department has data analysts who need to be able to query but not modify data.
How should you set access to the data in BigQuery?","Create a dataset for each department. Assign the department leads the role of OWNER, and assign the data analysts the role of WRITER on their dataset.","Create a dataset for each department. Assign the department leads the role of WRITER, and assign the data analysts the role of READER on their dataset.","Create a table for each department. Assign the department leads the role of Owner, and assign the data analysts the role of Editor on the project the table is in.","Create a table for each department. Assign the department leads the role of Editor, and assign the data analysts the role of Viewer on the project the table is in.",,,B,single,4,21,https://www.examtopics.com/discussions/google/view/79462-exam-professional-data-engineer-topic-1-question-118/,5,"The correct answer is B because it aligns with the access requirements for each department. By creating a dataset for each department, you can isolate their data and manage access effectively. Assigning the department leads the role of WRITER allows them to create and update tables within their dataset, fulfilling their need to manage data for their team. Assigning the data analysts the role of READER ensures they can query the data without having the ability to modify it, which meets the requirement for analysts to have read-only access. This setup ensures that each department has access only to their data and maintains proper access control."
23,1,"You operate a database that stores stock trades and an application that retrieves average stock price for a given company over an adjustable window of time. The data is stored in Cloud Bigtable where the datetime of the stock trade is the beginning of the row key. Your application has thousands of concurrent users, and you notice that performance is starting to degrade as more stocks are added. What should you do to improve the performance of your application?",Change the row key syntax in your Cloud Bigtable table to begin with the stock symbol.,Change the row key syntax in your Cloud Bigtable table to begin with a random number per second.,"Change the data pipeline to use BigQuery for storing stock trades, and update your application.",Use Cloud Dataflow to write a summary of each day's stock trades to an Avro file on Cloud Storage. Update your application to read from Cloud Storage and Cloud Bigtable to compute the responses.,,,A,single,4,22,https://www.examtopics.com/discussions/google/view/17244-exam-professional-data-engineer-topic-1-question-119/,5,"The correct answer is A. Changing the row key syntax to begin with the stock symbol helps distribute the data more evenly across Cloud Bigtable's nodes, reducing hotspots and improving read/write performance. Currently, using the datetime as the beginning of the row key can lead to sequential writes, which causes performance bottlenecks as all writes are directed to the same node. By starting the row key with the stock symbol, data is more evenly distributed, allowing for better parallel processing and improved performance. Options B, C, and D involve more complex changes or alternative solutions that may not directly address the issue of uneven data distribution in Cloud Bigtable."
24,1,"Your company handles data processing for a number of different clients. Each client prefers to use their own suite of analytics tools, with some allowing direct query access via Google BigQuery. You need to secure the data so that clients cannot see each other's data. You want to ensure appropriate access to the data.
Which three steps should you take? (Choose three.)",Load data into different partitions.,Load data into a different dataset for each client.,Put each client's BigQuery dataset into a different table.,Restrict a client's dataset to approved users.,Only allow a service account to access the datasets.,Use the appropriate identity and access management (IAM) roles for each client's users.,B|D|F,multiple,6,33,https://www.examtopics.com/discussions/google/view/16644-exam-professional-data-engineer-topic-1-question-12/,5,"The correct approach to securing client data in Google BigQuery involves using separate datasets for each client, as specified in choice B. This ensures that data is logically isolated, preventing clients from accessing each other's data. Choice D emphasizes restricting access to each client's dataset to only approved users, which is crucial for maintaining data confidentiality and integrity. Choice F involves using appropriate identity and access management (IAM) roles, allowing you to assign specific permissions to users based on their roles and ensuring that only authorized personnel have access to the data. Together, these steps provide a robust framework for data security and access control in a multi-client environment."
25,1,"You are operating a Cloud Dataflow streaming pipeline. The pipeline aggregates events from a Cloud Pub/Sub subscription source, within a window, and sinks the resulting aggregation to a Cloud Storage bucket. The source has consistent throughput. You want to monitor an alert on behavior of the pipeline with Cloud
Stackdriver to ensure that it is processing data. Which Stackdriver alerts should you create?",An alert based on a decrease of subscription/num_undelivered_messages for the source and a rate of change increase of instance/storage/ used_bytes for the destination,An alert based on an increase of subscription/num_undelivered_messages for the source and a rate of change decrease of instance/storage/ used_bytes for the destination,An alert based on a decrease of instance/storage/used_bytes for the source and a rate of change increase of subscription/ num_undelivered_messages for the destination,An alert based on an increase of instance/storage/used_bytes for the source and a rate of change decrease of subscription/ num_undelivered_messages for the destination,,,B,single,4,25,https://www.examtopics.com/discussions/google/view/17245-exam-professional-data-engineer-topic-1-question-120/,5,"The correct answer is B because it effectively monitors the pipeline's ability to process data. An increase in `subscription/num_undelivered_messages` indicates that messages are accumulating in the Pub/Sub subscription, suggesting that the pipeline may not be processing messages as expected. Simultaneously, a decrease in the rate of change of `instance/storage/used_bytes` for the destination (Cloud Storage) implies that less data is being written to the storage, which could indicate a processing bottleneck or failure in the pipeline. This combination of alerts helps identify when the pipeline is not functioning properly, ensuring timely intervention to maintain data processing continuity."
