question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
12,1,"You have Cloud Functions written in Node.js that pull messages from Cloud Pub/Sub and send the data to BigQuery. You observe that the message processing rate on the Pub/Sub topic is orders of magnitude higher than anticipated, but there is no error logged in Cloud Logging. What are the two most likely causes of this problem? (Choose two.)",Publisher throughput quota is too small.,Total outstanding messages exceed the 10-MB maximum.,Error handling in the subscriber code is not handling run-time errors properly.,The subscriber code cannot keep up with the messages.,The subscriber code does not acknowledge the messages that it pulls.,,D|E,multiple,5,13,https://www.examtopics.com/discussions/google/view/79780-exam-professional-data-engineer-topic-1-question-109/,3,"Les réponses D et E sont correctes. La réponse D indique que le code du souscripteur ne peut pas suivre le rythme des messages, ce qui signifie que les fonctions Cloud ne traitent pas les messages assez rapidement par rapport au taux de publication, entraînant une accumulation de messages non traités. La réponse E souligne que le code du souscripteur ne reconnaît pas les messages qu'il extrait, ce qui empêche Pub/Sub de les marquer comme traités, les laissant ainsi dans la file d'attente pour être réessayés. Ces deux problèmes peuvent entraîner un taux de traitement des messages beaucoup plus élevé que prévu, sans générer d'erreurs dans Cloud Logging."
13,1,"You are designing a basket abandonment system for an ecommerce company. The system will send a message to a user based on these rules:
✑ No interaction by the user on the site for 1 hour
✑ Has added more than $30 worth of products to the basket
✑ Has not completed a transaction
You use Google Cloud Dataflow to process the data and decide if a message should be sent. How should you design the pipeline?",Use a fixed-time window with a duration of 60 minutes.,Use a sliding time window with a duration of 60 minutes.,Use a session window with a gap time duration of 60 minutes.,Use a global window with a time based trigger with a delay of 60 minutes.,,,C,single,4,12,https://www.examtopics.com/discussions/google/view/79682-exam-professional-data-engineer-topic-1-question-11/,3,"La réponse correcte est C. Utiliser une fenêtre de session avec une durée d'écart de 60 minutes. Une fenêtre de session est appropriée dans ce contexte car elle regroupe les événements basés sur l'activité de l'utilisateur, en tenant compte des périodes d'inactivité. En définissant une durée d'écart de 60 minutes, le système peut détecter quand un utilisateur a cessé d'interagir avec le site pendant une heure, ce qui déclenche l'envoi d'un message. Les fenêtres fixes (A) et glissantes (B) ne prennent pas en compte l'inactivité de l'utilisateur de manière aussi précise, tandis qu'une fenêtre globale (D) ne convient pas car elle ne se concentre pas sur des sessions d'utilisateur spécifiques."
14,1,"You are creating a new pipeline in Google Cloud to stream IoT data from Cloud Pub/Sub through Cloud Dataflow to BigQuery. While previewing the data, you notice that roughly 2% of the data appears to be corrupt. You need to modify the Cloud Dataflow pipeline to filter out this corrupt data. What should you do?",Add a SideInput that returns a Boolean if the element is corrupt.,Add a ParDo transform in Cloud Dataflow to discard corrupt elements.,Add a Partition transform in Cloud Dataflow to separate valid data from corrupt data.,Add a GroupByKey transform in Cloud Dataflow to group all of the valid data together and discard the rest.,,,B,single,4,16,https://www.examtopics.com/discussions/google/view/17252-exam-professional-data-engineer-topic-1-question-110/,3,"La réponse correcte est B. Ajouter une transformation ParDo dans Cloud Dataflow pour écarter les éléments corrompus. La transformation ParDo est utilisée pour appliquer une fonction à chaque élément d'un PCollection, ce qui permet de filtrer et de transformer les données. En utilisant ParDo, vous pouvez implémenter une logique qui identifie et élimine les données corrompues, en ne conservant que les données valides. Les autres options, comme A, C, et D, ne sont pas aussi appropriées pour filtrer les données corrompues : A implique l'utilisation d'un SideInput qui n'est pas nécessaire pour ce cas, C sépare les données mais ne les élimine pas, et D regroupe les données sans filtrer les éléments corrompus."
15,1,"You have historical data covering the last three years in BigQuery and a data pipeline that delivers new data to BigQuery daily. You have noticed that when the
Data Science team runs a query filtered on a date column and limited to 30`""90 days of data, the query scans the entire table. You also noticed that your bill is increasing more quickly than you expected. You want to resolve the issue as cost-effectively as possible while maintaining the ability to conduct SQL queries.
What should you do?",Re-create the tables using DDL. Partition the tables by a column containing a TIMESTAMP or DATE Type.,Recommend that the Data Science team export the table to a CSV file on Cloud Storage and use Cloud Datalab to explore the data by reading the files directly.,"Modify your pipeline to maintain the last 30ג€""90 days of data in one table and the longer history in a different table to minimize full table scans over the entire history.",Write an Apache Beam pipeline that creates a BigQuery table per day. Recommend that the Data Science team use wildcards on the table name suffixes to select the data they need.,,,A,single,4,20,https://www.examtopics.com/discussions/google/view/17248-exam-professional-data-engineer-topic-1-question-111/,3,"La réponse correcte est A. Re-créer les tables en utilisant DDL et partitionner les tables par une colonne contenant un type TIMESTAMP ou DATE est la solution la plus efficace pour résoudre le problème de coût et de performance. Le partitionnement des tables permet de limiter les scans aux partitions pertinentes, réduisant ainsi la quantité de données scannées et, par conséquent, le coût des requêtes. Les autres options, comme B, qui recommande d'exporter les données vers Cloud Storage, et D, qui propose de créer une table par jour, introduisent une complexité inutile et ne résolvent pas directement le problème de performance des requêtes. L'option C, qui consiste à séparer les données récentes et historiques dans des tables différentes, pourrait réduire les scans, mais elle n'est pas aussi efficace ni simple que le partitionnement natif offert par BigQuery."
16,1,"You operate a logistics company, and you want to improve event delivery reliability for vehicle-based sensors. You operate small data centers around the world to capture these events, but leased lines that provide connectivity from your event collection infrastructure to your event processing infrastructure are unreliable, with unpredictable latency. You want to address this issue in the most cost-effective way. What should you do?",Deploy small Kafka clusters in your data centers to buffer events.,Have the data acquisition devices publish data to Cloud Pub/Sub.,Establish a Cloud Interconnect between all remote data centers and Google.,Write a Cloud Dataflow pipeline that aggregates all data in session windows.,,,B,single,4,49,https://www.examtopics.com/discussions/google/view/17249-exam-professional-data-engineer-topic-1-question-112/,4,"La réponse correcte est B. Faire en sorte que les dispositifs d'acquisition de données publient des données sur Cloud Pub/Sub. Cloud Pub/Sub est un service de messagerie asynchrone qui permet de découpler les services producteurs et consommateurs, ce qui est idéal pour gérer les latences imprévisibles et les connexions peu fiables. En utilisant Cloud Pub/Sub, les événements peuvent être publiés de manière fiable depuis les capteurs, même si la connectivité est intermittente, car le service gère le stockage temporaire des messages jusqu'à ce qu'ils soient consommés. Les autres options, comme déployer des clusters Kafka (A) ou établir un Cloud Interconnect (C), pourraient être plus coûteuses ou complexes, tandis que l'option D n'aborde pas directement le problème de la latence et de la fiabilité de la connexion."
17,1,"You are a retailer that wants to integrate your online sales capabilities with different in-home assistants, such as Google Home. You need to interpret customer voice commands and issue an order to the backend systems. Which solutions should you choose?",Speech-to-Text API,Cloud Natural Language API,Dialogflow Enterprise Edition,AutoML Natural Language,,,C,single,4,38,https://www.examtopics.com/discussions/google/view/16856-exam-professional-data-engineer-topic-1-question-113/,4,"La solution correcte est C. Dialogflow Enterprise Edition, car elle est spécifiquement conçue pour créer des interfaces conversationnelles, telles que des chatbots et des assistants vocaux. Dialogflow permet d'interpréter les commandes vocales des clients et de les transformer en actions concrètes, ce qui est essentiel pour intégrer les capacités de vente en ligne avec des assistants à domicile. En revanche, l'API Speech-to-Text (A) convertit simplement la parole en texte, et l'API Cloud Natural Language (B) analyse le texte pour en extraire des informations, mais ne gère pas les interactions conversationnelles complètes. AutoML Natural Language (D) est utilisé pour entraîner des modèles personnalisés de traitement du langage naturel, mais n'offre pas les fonctionnalités conversationnelles intégrées de Dialogflow."
18,1,Your company has a hybrid cloud initiative. You have a complex data pipeline that moves data between cloud provider services and leverages services from each of the cloud providers. Which cloud-native service should you use to orchestrate the entire pipeline?,Cloud Dataflow,Cloud Composer,Cloud Dataprep,Cloud Dataproc,,,B,single,4,21,https://www.examtopics.com/discussions/google/view/16628-exam-professional-data-engineer-topic-1-question-114/,4,"Cloud Composer est le choix correct pour orchestrer un pipeline de données complexe dans une initiative de cloud hybride, car il est basé sur Apache Airflow, un outil d'orchestration de flux de travail open-source. Cela permet de gérer et d'automatiser les flux de travail entre différents services cloud, ce qui est essentiel pour une architecture hybride. Contrairement à Cloud Dataflow, qui est principalement utilisé pour le traitement de flux et de données par lots, ou Cloud Dataproc, qui est destiné aux traitements de données massifs avec Apache Hadoop et Spark, Cloud Composer est spécifiquement conçu pour l'orchestration de tâches. Cloud Dataprep, quant à lui, est utilisé pour la préparation et le nettoyage des données, et non pour l'orchestration de pipelines."
19,1,You use a dataset in BigQuery for analysis. You want to provide third-party companies with access to the same dataset. You need to keep the costs of data sharing low and ensure that the data is current. Which solution should you choose?,"Use Analytics Hub to control data access, and provide third party companies with access to the dataset.","Use Cloud Scheduler to export the data on a regular basis to Cloud Storage, and provide third-party companies with access to the bucket.","Create a separate dataset in BigQuery that contains the relevant data to share, and provide third-party companies with access to the new dataset.","Create a Dataflow job that reads the data in frequent time intervals, and writes it to the relevant BigQuery dataset or Cloud Storage bucket for third-party companies to use.",,,A,single,4,11,https://www.examtopics.com/discussions/google/view/79459-exam-professional-data-engineer-topic-1-question-115/,4,"La solution A est la meilleure option car Analytics Hub de Google Cloud permet de partager des ensembles de données de manière sécurisée et efficace avec des tiers tout en maintenant les coûts bas. Analytics Hub facilite le contrôle d'accès aux données en permettant de gérer les autorisations et de s'assurer que les données partagées sont toujours à jour. Contrairement à l'option B, qui nécessiterait des exportations régulières vers Cloud Storage, et à l'option D, qui impliquerait des traitements supplémentaires avec Dataflow, Analytics Hub offre une solution plus directe et intégrée. L'option C, bien qu'elle permette de créer un ensemble de données distinct, pourrait entraîner des coûts supplémentaires et des problèmes de synchronisation des données."
20,1,"Your company is in the process of migrating its on-premises data warehousing solutions to BigQuery. The existing data warehouse uses trigger-based change data capture (CDC) to apply updates from multiple transactional database sources on a daily basis. With BigQuery, your company hopes to improve its handling of
CDC so that changes to the source systems are available to query in BigQuery in near-real time using log-based CDC streams, while also optimizing for the performance of applying changes to the data warehouse. Which two steps should they take to ensure that changes are available in the BigQuery reporting table with minimal latency while reducing compute overhead? (Choose two.)","Perform a DML INSERT, UPDATE, or DELETE to replicate each individual CDC record in real time directly on the reporting table.",Insert each new CDC record and corresponding operation type to a staging table in real time.,Periodically DELETE outdated records from the reporting table.,"Periodically use a DML MERGE to perform several DML INSERT, UPDATE, and DELETE operations at the same time on the reporting table.","Insert each new CDC record and corresponding operation type in real time to the reporting table, and use a materialized view to expose only the newest version of each unique record.",,B|D,multiple,5,16,https://www.examtopics.com/discussions/google/view/79672-exam-professional-data-engineer-topic-1-question-116/,4,"Pour optimiser la gestion des changements avec BigQuery tout en minimisant la latence et la charge de calcul, il est recommandé d'utiliser une approche en deux étapes. Premièrement, l'option B consiste à insérer chaque nouvel enregistrement CDC et le type d'opération correspondant dans une table de staging en temps réel. Cela permet de capturer rapidement les changements sans affecter directement la table de reporting. Ensuite, l'option D propose d'utiliser périodiquement une opération DML MERGE pour appliquer plusieurs opérations DML (INSERT, UPDATE, DELETE) simultanément sur la table de reporting. Cette méthode optimise les performances en regroupant les opérations de mise à jour, réduisant ainsi la charge de calcul par rapport à des mises à jour individuelles en temps réel."
21,1,You are designing a data processing pipeline. The pipeline must be able to scale automatically as load increases. Messages must be processed at least once and must be ordered within windows of 1 hour. How should you design the solution?,Use Apache Kafka for message ingestion and use Cloud Dataproc for streaming analysis.,Use Apache Kafka for message ingestion and use Cloud Dataflow for streaming analysis.,Use Cloud Pub/Sub for message ingestion and Cloud Dataproc for streaming analysis.,Use Cloud Pub/Sub for message ingestion and Cloud Dataflow for streaming analysis.,,,D,single,4,22,https://www.examtopics.com/discussions/google/view/16629-exam-professional-data-engineer-topic-1-question-117/,5,"La réponse correcte est D. Utiliser Cloud Pub/Sub pour l'ingestion de messages et Cloud Dataflow pour l'analyse en streaming. Cloud Pub/Sub est un service de messagerie entièrement géré qui permet de gérer l'ingestion de messages à grande échelle avec une garantie de livraison au moins une fois. Cloud Dataflow est conçu pour le traitement de flux de données en temps réel et offre des fonctionnalités de traitement par lots et en streaming, tout en garantissant l'ordre des messages dans des fenêtres temporelles définies, comme celles d'une heure. Les choix A et B utilisent Apache Kafka, qui nécessite une gestion supplémentaire pour le dimensionnement automatique, tandis que le choix C utilise Cloud Dataproc, qui est plus adapté pour le traitement par lots que pour le streaming en temps réel."
22,1,"You need to set access to BigQuery for different departments within your company. Your solution should comply with the following requirements:
✑ Each department should have access only to their data.
✑ Each department will have one or more leads who need to be able to create and update tables and provide them to their team.
✑ Each department has data analysts who need to be able to query but not modify data.
How should you set access to the data in BigQuery?","Create a dataset for each department. Assign the department leads the role of OWNER, and assign the data analysts the role of WRITER on their dataset.","Create a dataset for each department. Assign the department leads the role of WRITER, and assign the data analysts the role of READER on their dataset.","Create a table for each department. Assign the department leads the role of Owner, and assign the data analysts the role of Editor on the project the table is in.","Create a table for each department. Assign the department leads the role of Editor, and assign the data analysts the role of Viewer on the project the table is in.",,,B,single,4,21,https://www.examtopics.com/discussions/google/view/79462-exam-professional-data-engineer-topic-1-question-118/,5,"La réponse correcte est B. Créer un ensemble de données pour chaque département et attribuer aux responsables de département le rôle de WRITER, et aux analystes de données le rôle de READER sur leur ensemble de données. Cette solution respecte les exigences car elle permet aux responsables de créer et de mettre à jour les tables, tout en limitant les analystes à la consultation des données sans possibilité de modification. Le rôle de WRITER pour les responsables leur donne les permissions nécessaires pour gérer les tables, tandis que le rôle de READER pour les analystes garantit qu'ils peuvent interroger les données sans les altérer. Les options A, C et D ne respectent pas ces exigences, car elles attribuent des rôles qui ne correspondent pas aux besoins spécifiques de création, mise à jour ou consultation des données."
23,1,"You operate a database that stores stock trades and an application that retrieves average stock price for a given company over an adjustable window of time. The data is stored in Cloud Bigtable where the datetime of the stock trade is the beginning of the row key. Your application has thousands of concurrent users, and you notice that performance is starting to degrade as more stocks are added. What should you do to improve the performance of your application?",Change the row key syntax in your Cloud Bigtable table to begin with the stock symbol.,Change the row key syntax in your Cloud Bigtable table to begin with a random number per second.,"Change the data pipeline to use BigQuery for storing stock trades, and update your application.",Use Cloud Dataflow to write a summary of each day's stock trades to an Avro file on Cloud Storage. Update your application to read from Cloud Storage and Cloud Bigtable to compute the responses.,,,A,single,4,22,https://www.examtopics.com/discussions/google/view/17244-exam-professional-data-engineer-topic-1-question-119/,5,"La réponse correcte est A. En commençant la clé de ligne par le symbole boursier, vous pouvez mieux distribuer les requêtes sur les nœuds de Cloud Bigtable. Cela réduit les points chauds, car les requêtes seront réparties de manière plus uniforme sur les différentes partitions, améliorant ainsi les performances. Les options B et D ne résoudraient pas efficacement le problème de performance lié à la distribution des données. L'option C impliquerait un changement d'architecture important et pourrait ne pas être nécessaire si une simple modification de la clé de ligne peut résoudre le problème."
